Country,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious_Critical,Cases_per_1M,Deaths_per_1M,TotalTests,Tests_per_1M,WHO Region,iso_alpha,Mortality_Rate,Recovery_Rate,Active_Case_Rate,Calculated_Cases_per_1M,Calculated_Deaths_per_1M,Calculated_Tests_per_1M,Case_Burden_Score,Death_Burden_Score,Active_Burden_Score,COVID_Impact_Score,Impact_Category
Réunion,Africa,895952.0,671,5.0,592.0,74.0,3.0,749.0,6.0,35419.0,39532.0,,REU,0.7451564828614009,88.22652757078987,11.028315946348734,748.924049502652,5.5806561065771385,39532.25172777113,43.269230769230774,21.390374331550802,31.70731707317073,32.12,Moderate
Channel Islands,Europe,174022.0,597,47.0,533.0,17.0,,3431.0,270.0,30721.0,176535.0,, ,7.872696817420436,89.27973199329983,2.8475711892797317,3430.6007286435047,270.0807943823195,176535.15072806887,71.63461538461539,89.3048128342246,8.780487804878048,56.57,High
Guyana,South America,786936.0,538,22.0,189.0,327.0,2.0,684.0,28.0,5165.0,6563.0,Americas,GUY,4.089219330855019,35.130111524163574,60.78066914498142,683.6642369900475,27.956530137139488,6563.43082537843,40.86538461538461,49.19786096256685,90.73170731707317,60.26,High
Tanzania,Africa,59886383.0,509,21.0,183.0,305.0,7.0,8.0,0.4,,,Africa,TZA,4.12573673870334,35.952848722986246,59.921414538310415,8.499427991835807,0.3506640232388054,,1.9230769230769231,3.7433155080213902,89.75609756097562,31.81,Moderate
Taiwan,Asia,23821199.0,477,7.0,443.0,27.0,,20.0,0.3,82737.0,3473.0,WesternPacific,TWN,1.4675052410901468,92.87211740041928,5.660377358490567,20.024180982661704,0.293855905405937,3473.250863653001,4.326923076923077,2.6737967914438503,20.0,9.0,Low
Comoros,Africa,871326.0,396,7.0,340.0,49.0,,454.0,8.0,,,Africa,COM,1.7676767676767675,85.85858585858585,12.373737373737374,454.47972400685853,8.033732495070732,,33.65384615384615,31.016042780748666,38.048780487804876,34.24,Moderate
Burundi,Africa,11922216.0,395,1.0,304.0,90.0,,33.0,0.08,15614.0,1310.0,Africa,BDI,0.25316455696202533,76.9620253164557,22.78481012658228,33.13142456066892,0.08387702420422512,1309.655855924771,5.769230769230769,0.53475935828877,53.65853658536586,19.99,Low
Myanmar,Asia,54446389.0,357,6.0,308.0,43.0,,7.0,0.1,122290.0,2246.0,South-EastAsia,MMR,1.680672268907563,86.27450980392157,12.044817927170868,6.556908668451823,0.11020014568826594,2246.0626360363403,0.9615384615384616,2.13903743315508,37.073170731707314,13.39,Low
Mauritius,Africa,1271985.0,344,10.0,334.0,0.0,,270.0,8.0,205285.0,161389.0,Africa,MUS,2.9069767441860463,97.09302325581395,0.0,270.4434407638455,7.861727929181555,161389.48179420354,24.519230769230766,30.481283422459892,2.9268292682926833,19.31,Low
Isle of Man,Europe,85078.0,336,24.0,312.0,0.0,,3949.0,282.0,8627.0,101401.0,,IMN,7.142857142857142,92.85714285714286,0.0,3949.317097251934,282.0940783751381,101401.06725592985,75.48076923076923,89.83957219251337,2.9268292682926833,56.08,High
Mongolia,Asia,3283344.0,293,,260.0,33.0,1.0,89.0,,38334.0,11675.0,WesternPacific,MNG,,88.73720136518772,11.262798634812286,89.2382887690111,,11675.292019355877,11.538461538461538,,33.170731707317074,,Insufficient Data
Eritrea,Africa,3551175.0,282,,225.0,57.0,,79.0,,,,Africa,ERI,,79.7872340425532,20.212765957446805,79.41033601554415,,,11.057692307692307,,49.26829268292683,,Insufficient Data
Guadeloupe,North America,400131.0,279,14.0,179.0,86.0,,697.0,35.0,18476.0,46175.0,,FRA,5.017921146953405,64.15770609318996,30.824372759856633,697.2716435367417,34.98854125273973,46174.877727544226,41.34615384615385,54.01069518716578,67.31707317073172,54.22,High
